Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
KuroKy,201,146,55,"72,64%",104,97,"2,65","5,69","13,07","3,25","2,76",277,334,48,1,16,7574,338,1410,8762
MATUMBAMAN,201,146,55,"72,64%",104,97,"7,17","3,59","10,87","5,94","5,02",532,539,246,9,21,21645,4869,2175,18043
MinD_ContRoL,201,146,55,"72,64%",104,97,"4,26","4,4","13,56","4,68","4,05",421,470,173,7,20,15228,1757,1188,14103
Miracle,201,146,55,"72,64%",104,97,"10,13","4,04","8,4","6,05","4,59",624,623,303,19,22,24398,4378,253,21910
GH,201,146,55,"72,64%",104,97,"2,42","6,07","14,42","3,2","2,77",321,366,88,1,17,11252,370,2119,10132
MidOne,228,154,74,"67,54%",88,140,"8,57","3,86","10,15","5,87","4,85",576,585,296,13,22,24280,3577,195,19791
Lil,175,116,59,"66,29%",78,97,"3,28","4,85","13,37","3,79","3,44",307,367,65,2,17,8540,531,1616,10324
9pasha,175,116,59,"66,29%",78,97,"3,74","4,05","11,9","4,25","3,87",395,454,160,6,19,11978,1044,1261,13503
Solo,175,116,59,"66,29%",78,97,"2,36","6,35","13,69","2,86","2,53",259,300,40,3,15,7661,454,1696,8998
No[o]ne-,175,116,59,"66,29%",78,97,"8,42","3,23","9,69","5,9","5,6",598,615,313,20,22,23456,4521,284,20597
jdh,118,78,40,"66,10%",64,54,"2,93","5,44","14,66","3,95","3,23",284,352,54,3,16,8788,625,2451,8873
Adong ,53,35,18,"66,04%",30,23,"2,85","6,34","13,74","2,81","2,62",269,308,41,2,16,7551,380,736,8551
Puppey,241,158,83,"65,56%",91,150,"2,79","4,86","13,52","4,23","3,35",300,342,69,3,17,8019,325,1227,9646
RAMZES666,177,116,61,"65,54%",78,99,"7,6","2,86","9,88","6,9","6,1",587,597,305,16,22,19306,4543,813,20382
SVG,58,38,20,"65,52%",26,32,"2,5","4,67","12,72","4,02","3,26",279,312,46,3,16,8375,311,1451,8926
YapzOr,214,140,74,"65,42%",68,146,"4,03","4,07","14,86","5,26","4,65",312,422,66,2,19,12799,171,527,10814
BurNIng,211,138,73,"65,40%",92,119,"7,11","2,78","10,07","6,82","6,18",563,560,271,17,21,18404,5483,1057,19400
Guvara,104,68,36,"65,38%",43,61,"4,57","3,96","12,74","4,98","4,37",404,473,146,6,19,12007,883,630,13133
XXSJ,78,50,28,"64,10%",59,19,"2,49","5,77","12,54","3,06","2,6",263,302,54,2,15,8270,1023,993,8358
